doi,material,substrate,sources,min_km,max_km,fold,n_sources,unit_uncertain
10.1021/acsami.0c08778,bare CeO2,TMB,"['db:ai-zymes', 'human']",0.2,0.59,2.95,2,False
10.1039/c6nr02730j,CeO2,ABTS,"['db:ai-zymes', 'db:dizyme', 'human']",0.062,0.18,2.9032,3,False
10.1039/c9nr05346h,CeO2,ABTS,"['db:ai-zymes', 'db:nanozymedb', 'human']",0.062,0.18,2.9032,3,False
10.1016/j.apcatb.2019.118256,Co-V MMOs,TMB,"['db:ai-zymes', 'human']",0.179,0.444,2.4804,2,False
10.1039/c3ra23215h,Au@PtAg0.33,TMB,"['db:ai-zymes', 'db:dizyme', 'human']",0.0065,0.016,2.4615,3,False
10.1039/c3ra23215h,Au@Pt,TMB,"['db:ai-zymes', 'db:dizyme', 'human']",0.0089,0.02,2.2472,3,False
10.1016/j.biomaterials.2010.11.004,Pt(Pt-Ft),H2O2,"['db:ai-zymes', 'human']",187.25,420.6,2.2462,2,False
10.1021/acsami.0c08778,CeO2@PAA5K,TMB,"['db:ai-zymes', 'human']",0.039,0.086,2.2051,2,False
10.1002/smll.201603051,Au_Si_ACD,H2O2,"['db:ai-zymes', 'human']",117.0,252.0,2.1538,2,False
10.1016/j.biomaterials.2010.09.040,Au@0.25Pt,TMB,"['db:ai-zymes', 'human']",0.013,0.027,2.0769,2,False
