材料,酶活,底物,pH,温度(℃),指标,等级,tier,文献数,倍数,疑因标签,逐条取值(DOI=值),人工复核结论,复核备注
pt,peroxidase,TMB,4.0,25.0,vmax_um_s,严重,3,3,21.0,跨文献,10.1002/adfm.201801484=0.12000000000000001 | 10.1016/j.aca.2013.03.034=1.26 | 10.1016/j.cej.2023.142494=0.060000000000000005,,
fe3o4,peroxidase,TMB,4.0,25.0,vmax_um_s,严重,3,6,94.87,单位量级错配?/跨文献,10.1021/jacs.7b00601=0.0071666667 | 10.1021/jacs.7b00601=0.0071666667 | 10.1021/jacs.7b00601=0.0072 | 10.1039/c7ay00750g=0.0362 | 10.1039/c7ay00750g=0.0362 | 10.1039/c7ay00750g=0.036199999999999996 | 10.1088/1361-6528/ab2026=0.0364 | 10.1088/1361-6528/ab2026=0.0364 | 10.1002/chem.201101191=0.333 | 10.1021/acs.analchem.9b04116=0.00406 | 10.1021/acs.analchem.9b04116=0.0035099999999999997 | 10.1039/c8nj01190g=0.09409000000000001,,
ceo2,oxidase,TMB,4.0,25.0,kcat_s,严重,3,2,9.19,单位量级错配?/跨文献,10.1039/c6nr02730j=0.16 | 10.1039/c6nr02730j=0.16 | 10.1039/c9nr05346h=1.47 | 10.1039/c9nr05346h=1.47 | 10.1039/c9nr05346h=0.16 | 10.1039/c9nr05346h=0.16,,
mn3o4,catalase,H2O2,7.0,25.0,vmax_um_s,严重,3,2,23.05,跨文献,10.1002/anie.201708573=122.166667 | 10.1002/chem.201800770=7.4 | 10.1002/chem.201800770=5.3 | 10.1002/chem.201800770=122.1 | 10.1002/chem.201800770=5.8 | 10.1002/chem.201800770=21.8,,
mos2,peroxidase,H2O2,4.0,25.0,vmax_um_s,严重,3,2,20.84,跨文献,10.1039/c6ra18050g=0.047599999999999996 | 10.1039/c7tb02676e=0.132 | 10.1039/c7tb02676e=0.152 | 10.1039/c7tb02676e=0.192 | 10.1039/c7tb02676e=0.992,,
fe3o4,peroxidase,H2O2,4.0,25.0,km_mm,严重,3,5,2434.21,跨文献,10.1039/c7ay00750g=155.0 | 10.1039/c7ay00750g=155.0 | 10.1039/c7ay00750g=155.0 | 10.1088/1361-6528/ab2026=0.076 | 10.1088/1361-6528/ab2026=0.076 | 10.1002/chem.201101191=185.0 | 10.1021/acs.analchem.9b04116=6.66 | 10.1021/acs.analchem.9b04116=30.24 | 10.1039/c8nj01190g=0.811,,
fe2o3,peroxidase,H2O2,3.6,25.0,vmax_um_s,严重,3,4,87.31,跨文献,10.1039/c8tb01132j=0.0637 | 10.1039/c9tb00989b=0.037700000000000004 | 10.1039/c9tb00989b=0.0184 | 10.1016/j.colsurfa.2016.07.037=0.0217 | 10.1016/j.colsurfa.2016.07.037=0.0217 | 10.1016/j.colsurfa.2016.07.037=0.172 | 10.1016/j.colsurfa.2016.07.037=0.172 | 10.1021/acsanm.0c02807=0.0019700000000000004,,
ceo2,peroxidase,TMB,4.0,25.0,km_mm,严重,3,3,10.71,单位量级错配?/跨文献,10.1039/c6nr02730j=0.14 | 10.1039/c9nr05346h=1.5 | 10.1038/srep35344=0.217 | 10.1038/srep35344=0.24 | 10.1038/srep35344=0.24,,
ceo2,peroxidase,TMB,3.8,40.0,km_mm,严重,3,2,14.08,跨文献,10.1016/j.msec.2015.10.046=0.0753 | 10.1016/j.msec.2015.10.046=1.06 | 10.1016/j.snb.2016.09.049=0.0854 | 10.1016/j.snb.2016.09.049=0.274,,
mnfe2o4,oxidase,TMB,4.0,28.0,km_mm,严重,3,2,6.09,跨文献,10.1002/asia.201500942=0.03776 | 10.1002/asia.201500942=0.03776 | 10.1002/asia.201500942=0.0378 | 10.1007/s41664-019-00100-4=0.23,,
