材料,酶活,底物,pH,温度(℃),指标,等级,tier,文献数,倍数,疑因标签,逐条取值(DOI=值),人工复核结论,复核备注
fe2o3,peroxidase,H2O2,3.6,25.0,km_mm,严重,3,4,12.98,跨文献,10.1039/c8tb01132j=146.7 | 10.1039/c9tb00989b=127.92 | 10.1039/c9tb00989b=144.3 | 10.1016/j.colsurfa.2016.07.037=11.3 | 10.1016/j.colsurfa.2016.07.037=11.3 | 10.1016/j.colsurfa.2016.07.037=120.0 | 10.1016/j.colsurfa.2016.07.037=120.0 | 10.1021/acsanm.0c02807=114.0,,
ceo2,peroxidase,TMB,4.0,45.0,vmax_um_s,严重,3,2,2.07,跨文献,10.1039/c2ay25511a=0.0094 | 10.1039/c2ay25511a=0.0094 | 10.1039/c2ay25511a=0.0094 | 10.1039/c7ay02459b=0.0195,,
pt,peroxidase,H2O2,4.0,22.0,vmax_um_s,严重,3,2,2.07,跨文献,10.1021/acs.langmuir.7b03430=0.29 | 10.1007/s11434-016 193-9=0.14 | 10.1007/s11434-016 193-9=0.14,,
pd,peroxidase,TMB,4.0,25.0,vmax_um_s,严重,3,2,3.29,跨文献,10.1002/adfm.201801484=0.0021 | 10.1021/acsanm.8b00578=0.0069,,
co3o4,peroxidase,H2O2,5.0,25.0,vmax_um_s,严重,3,4,2347504.62,跨文献,10.1021/am406033q=0.127 | 10.1021/am406033q=0.127 | 10.1039/c2cc17013b=0.121 | 10.1039/c2cc17013b=0.121 | 10.1039/c2cc17013b=0.121 | 10.1021/acs.inorgchem.9b03512=0.1013 | 10.1021/acs.inorgchem.9b03512=0.0103 | na-1589=5.41e-08,,
co3o4,peroxidase,TMB,4.0,40.0,km_mm,严重,3,2,6.82,跨文献,10.1016/j.apsusc.2016.12.067=0.012 | 10.1016/j.apsusc.2016.12.067=0.013 | 10.1016/j.apsusc.2016.12.067=0.015 | 10.1039/c7nj03880a=0.0022,,
v2o5,peroxidase,H2O2,7.4,25.0,vmax_um_s,严重,3,2,2.38,跨文献,10.1016/j.ica.2018.09.045=3.2051666666 | 10.1016/j.ica.2018.09.045=3.2051666666 | 10.1002/anie.201800681=3.21 | 10.1002/anie.201800681=3.883333 | 10.1002/anie.201800681=5.666667 | 10.1002/anie.201800681=2.383333,,
fes2,peroxidase,H2O2,4.0,25.0,vmax_um_s,严重,3,2,3.09,跨文献,10.1021/acs.jpcc.1c10325=0.127 | 10.1021/acsami.0c12593=0.392,,
pd,peroxidase,TMB,4.0,25.0,km_mm,严重,3,3,7.0,跨文献,10.1002/adfm.201801484=0.12 | 10.1007/s10853-020-05589-0=0.02 | 10.1021/acsanm.8b00578=0.14,,
fe3o4,peroxidase,H2O2,4.4,25.0,km_mm,可疑,2,3,419750.0,跨文献,10.1016/j.matlet.2013.04.020=1175.3 | 10.1016/j.matlet.2013.04.020=1175.3 | 10.1016/j.matlet.2013.04.020=1175.3 | 10.1016/j.matlet.2013.04.020=1175.3 | 10.1002/anie.201904751=120.0 | 10.1002/anie.201904751=120.0 | 10.1088/1361-6463/aa5bf6=0.0028,,
pt,oxidase,TMB,4.0,25.0,km_mm,可疑,2,3,6.89,跨文献,10.1038/srep40103=0.53 | 10.1016/j.bios.2018.08.004=0.62 | 10.1016/j.bios.2016.10.082=0.09,,
tio2cqds,oxidase,TMB,5.0,25.0,vmax_um_s,可疑,2,2,1000000.0,跨文献,10.1039/c9tb02478f=0.025 | 10.1039/c9tb02478f=0.025 | na-831=2.5e-08,,
v2o5nanobelts,oxidase,glucose,7.0,37.0,vmax_um_s,可疑,2,2,1000000.0,跨文献,10.1021/acs.analchem.9b05872=0.18114 | 10.1021/acs.analchem.9b05872=0.18114 | na-1000=1.8114000000000002e-07,,
ceo2,peroxidase,H2O2,4.0,45.0,km_mm,可疑,2,2,964.18,单位量级错配?/跨文献,10.1039/c2ay25511a=64.6 | 10.1039/c2ay25511a=64.6 | 10.1039/c2ay25511a=64.6 | 10.1039/c7ay02459b=0.067,,
fe3o4,peroxidase,H2O2,3.6,25.0,km_mm,可疑,2,2,45.36,跨文献,10.1016/j.bios.2018.11.043=10.58 | 10.1021/am405009f=479.91 | 10.1021/am405009f=479.91 | 10.1021/am405009f=479.91,,
fe3o4,peroxidase,H2O2,3.5,40.0,km_mm,可疑,2,2,41.07,跨文献,10.1038/nnano.2007.260=154.0 | 10.1038/nnano.2007.260=154.0 | 10.1038/nnano.2007.260=154.0 | 10.1038/nnano.2007.260=154.0 | 10.1016/j.jtice.2017.12.011=3.75,,
ceo2,peroxidase,ABTS,4.0,25.0,km_mm,可疑,2,2,2.9,跨文献,10.1039/c6nr02730j=0.062 | 10.1039/c9nr05346h=0.18,,
mos2,peroxidase,TMB,4.0,25.0,km_mm,可疑,2,3,2.28,跨文献,10.1039/c6ra18050g=0.232 | 10.1039/c7tb02676e=0.17 | 10.1039/c7tb02676e=0.22 | 10.1039/c8nj03996h=0.387,,
hrp,peroxidase,H2O2,4.5,25.0,km_mm,可疑,2,2,2.8,跨文献,10.1039/c6cc08542c=10.35 | 10.1039/c4tb00541d=3.7,,
fe3o4,peroxidase,TMB,3.5,40.0,vmax_um_s,可疑,2,2,13.23,跨文献,10.1038/nnano.2007.260=0.0344 | 10.1038/nnano.2007.260=0.0344 | 10.1038/nnano.2007.260=0.0344 | 10.1016/j.jtice.2017.12.011=0.0026,,
pt,peroxidase,H2O2,4.0,22.0,km_mm,可疑,2,2,11.43,跨文献,10.1021/acs.langmuir.7b03430=63.86 | 10.1007/s11434-016 193-9=730.0 | 10.1007/s11434-016 193-9=730.0,,
v2o5,peroxidase,GSH,7.4,25.0,vmax_um_s,可疑,2,2,2.16,跨文献,10.1016/j.ica.2018.09.045=4.655 | 10.1016/j.ica.2018.09.045=4.655 | 10.1002/anie.201800681=4.6499999999999995 | 10.1002/anie.201800681=7.2 | 10.1002/anie.201800681=10.033333 | 10.1002/anie.201800681=7.783333,,
c,peroxidase,TMB,3.55,36.0,km_mm,可疑,2,2,2.66,跨文献,10.1039/c1cc11943e=0.039 | 10.1038/s41596-018-0001-1=0.1037,,
ceo2,peroxidase,H2O2,4.0,45.0,vmax_um_s,可疑,2,2,7.37,跨文献,10.1039/c2ay25511a=0.0507 | 10.1039/c2ay25511a=0.0507 | 10.1039/c2ay25511a=0.0507 | 10.1039/c7ay02459b=0.00688,,
fes2,peroxidase,H2O2,4.0,25.0,km_mm,可疑,2,2,2.5,跨文献,10.1021/acs.jpcc.1c10325=0.0907 | 10.1021/acsami.0c12593=0.227,,
cucufe2o4,peroxidase,H2O2,4.0,35.0,km_mm,可疑,2,2,2.41,跨文献,10.1016/j.surfin.2021.101109=0.21 | 10.1039/d0dt02395g=0.087,,
fe4fecn63,peroxidase,TMB,3.55,25.0,km_mm,可疑,2,2,2.26,跨文献,10.1007/s00604-015-1697-z=0.76 | 10.1021/jacs.5b12070=0.337,,
mos2,peroxidase,TMB,4.0,25.0,vmax_um_s,可疑,2,2,3.09,跨文献,10.1039/c6ra18050g=0.045599999999999995 | 10.1039/c7tb02676e=0.14100000000000001 | 10.1039/c7tb02676e=0.13699999999999998,,
ceo2,oxidase,ABTS,4.0,25.0,km_mm,可疑,2,2,2.9,跨文献,10.1039/c6nr02730j=0.18 | 10.1039/c6nr02730j=0.18 | 10.1039/c6nr02730j=0.18 | 10.1039/c9nr05346h=0.062 | 10.1039/c9nr05346h=0.062 | 10.1039/c9nr05346h=0.18 | 10.1039/c9nr05346h=0.18,,
pd,peroxidase,TMB,4.0,20.0,km_mm,可疑,2,3,1.78,跨文献,10.1039/c5an01103e=0.045 | 10.1039/c5an01103e=0.068 | 10.1039/c5an01103e=0.08 | 10.1021/acsnano.5b03525=0.054 | 10.1007/s11434-016-1193-9=0.047,,
mn3o4,catalase,H2O2,7.0,25.0,km_mm,可疑,2,2,1.88,跨文献,10.1002/anie.201708573=0.511 | 10.1002/chem.201800770=0.367 | 10.1002/chem.201800770=0.441 | 10.1002/chem.201800770=0.52 | 10.1002/chem.201800770=0.613 | 10.1002/chem.201800770=0.69,,
cuoh2,peroxidase,H2O2,4.5,25.0,km_mm,可疑,2,2,1.9,跨文献,10.1021/jacs.5b09337=0.199 | 10.1039/c6tb01233g=0.379,,
cuoh2,peroxidase,TMB,4.5,25.0,km_mm,可疑,2,2,1.83,跨文献,10.1021/jacs.5b09337=2.448 | 10.1039/c6tb01233g=1.335,,
cds,peroxidase,H2O2,4.0,40.0,km_mm,可疑,2,2,1.81,跨文献,10.1016/j.apcatb.2012.07.005=6.54 | 10.1016/j.molcata.2012.03.007=3.62,,
au25,catalase,H2O2,7.0,25.0,vmax_um_s,可疑,2,2,1.8,跨文献,10.1021/acs.nanolett.0c05148=0.685833333333333 | 10.1021/acs.nanolett.0c05148=0.685833333333333 | 10.1038/s41467-020-20275-0=1.233 | 10.1038/s41467-020-20275-0=1.233,,
lanio3,peroxidase,H2O2,4.5,37.0,vmax_um_s,可疑,2,2,1.78,跨文献,10.1038/s41467-019-08657-5=4.63 | 10.7150/thno.19257=2.6,,
cucufe2o4,peroxidase,TMB,4.0,35.0,km_mm,可疑,2,2,1.77,跨文献,10.1016/j.surfin.2021.101109=0.39 | 10.1039/d0dt02395g=0.69,,
fe3o4,peroxidase,ABTS,4.0,25.0,km_mm,可疑,2,2,2.25,跨文献,10.1016/j.biomaterials.2009.05.005=0.12 | 10.1021/jacs.7b00601=0.27 | 10.1021/jacs.7b00601=0.27 | 10.1021/jacs.7b00601=0.27,,
mno2,peroxidase,H2O2,4.0,25.0,vmax_um_s,可疑,2,2,1.76,跨文献,10.1002/adfm.201800018=0.34 | 10.1016/j.snb.2017.06.096=0.6,,
cds,peroxidase,TMB,4.0,40.0,km_mm,可疑,2,2,1.76,跨文献,10.1016/j.apcatb.2012.07.005=0.0054 | 10.1016/j.molcata.2012.03.007=0.0095,,
ceo2,oxidase,ABTS,4.0,25.0,vmax_um_s,可疑,2,2,2.18,跨文献,10.1039/c6nr02730j=1.2 | 10.1039/c6nr02730j=1.2 | 10.1039/c6nr02730j=1.2 | 10.1039/c9nr05346h=0.55 | 10.1039/c9nr05346h=0.55 | 10.1039/c9nr05346h=1.2 | 10.1039/c9nr05346h=1.2,,
co3o4,peroxidase,TMB,5.0,45.0,km_mm,可疑,2,2,1.74,跨文献,10.1039/c2cc17013b=0.037 | 10.1021/acsabm.1c00017=0.0213,,
fe3o4,peroxidase,TMB,4.4,25.0,km_mm,可疑,2,2,1.8,跨文献,10.1016/j.matlet.2013.04.020=0.485 | 10.1016/j.matlet.2013.04.020=0.485 | 10.1016/j.matlet.2013.04.020=0.485 | 10.1016/j.matlet.2013.04.020=0.485 | 10.1002/anie.201904751=0.269 | 10.1002/anie.201904751=0.269,,
cuo,peroxidase,H2O2,4.5,37.0,vmax_um_s,可疑,2,2,1.74,跨文献,10.1038/s41467-019-08657-5=0.28 | 10.1038/s41467-019-08657-5=0.28 | 10.1038/s41467-019-08657-5=0.27999999999999997 | 10.1021/acsami.6b05354=0.161,,
co3o4,peroxidase,H2O2,5.0,45.0,km_mm,可疑,2,2,1.53,跨文献,10.1039/c2cc17013b=140.07 | 10.1021/acsabm.1c00017=214.0,,
mno2,peroxidase,H2O2,4.0,25.0,km_mm,可疑,2,2,1.5,跨文献,10.1002/adfm.201800018=0.09 | 10.1016/j.snb.2017.06.096=0.06,,
cucufe2o4,peroxidase,H2O2,4.0,35.0,vmax_um_s,可疑,2,2,1.47,跨文献,10.1016/j.surfin.2021.101109=0.474 | 10.1039/d0dt02395g=0.32180000000000003,,
fes2,peroxidase,TMB,4.0,25.0,vmax_um_s,可疑,2,2,1.46,跨文献,10.1021/acs.jpcc.1c10325=0.47800000000000004 | 10.1021/acsami.0c12593=0.699,,
cucufe2o4,peroxidase,TMB,4.0,35.0,vmax_um_s,可疑,2,2,1.42,跨文献,10.1016/j.surfin.2021.101109=0.23900000000000002 | 10.1039/d0dt02395g=0.16870000000000002,,
au25,catalase,H2O2,7.0,25.0,km_mm,可疑,2,2,1.41,跨文献,10.1021/acs.nanolett.0c05148=479.39 | 10.1021/acs.nanolett.0c05148=479.39 | 10.1038/s41467-020-20275-0=676.0 | 10.1038/s41467-020-20275-0=676.0,,
pdpt,peroxidase,TMB,4.0,25.0,km_mm,可疑,2,2,1.41,跨文献,10.1002/adfm.201801484=0.43 | 10.1016/j.sintl.2020.100031=0.34 | 10.1016/j.sintl.2020.100031=0.45 | 10.1016/j.sintl.2020.100031=0.48,,
mnfe2o4,oxidase,TMB,4.0,28.0,vmax_um_s,可疑,2,2,1.3,跨文献,10.1002/asia.201500942=0.32 | 10.1002/asia.201500942=0.32 | 10.1007/s41664-019-00100-4=0.417,,
mil53fe,peroxidase,H2O2,4.0,40.0,km_mm,一致,1,2,1.33,跨文献,10.1002/chem.201303051=0.04 | 10.1039/c4ra15840g=0.03,,
fe3o4,peroxidase,TMB,4.0,30.0,km_mm,一致,1,2,1.25,跨文献,10.1002/smll.202105673=0.3033 | na-1456=0.242,,
fe3o4,peroxidase,TMB,4.4,25.0,vmax_um_s,一致,1,2,1.26,跨文献,10.1016/j.matlet.2013.04.020=0.0563 | 10.1016/j.matlet.2013.04.020=0.0563 | 10.1016/j.matlet.2013.04.020=0.0563 | 10.1002/anie.201904751=0.04477 | 10.1002/anie.201904751=0.04477,,
cu,peroxidase,TMB,6.0,30.0,km_mm,一致,1,2,1.19,跨文献,10.1016/j.aca.2012.11.056=0.648 | 10.1007/s00604-016-1915-3=0.543,,
fe3o4,peroxidase,H2O2,3.5,40.0,vmax_um_s,一致,1,2,1.17,跨文献,10.1038/nnano.2007.260=0.0978 | 10.1038/nnano.2007.260=0.0978 | 10.1038/nnano.2007.260=0.09780000000000001 | 10.1016/j.jtice.2017.12.011=0.0833,,
pmcs,peroxidase,TMB,4.5,45.0,kcat_s,一致,1,2,1.14,跨文献,10.1002/anie.201813994=4960000.0 | 10.1002/anie.201813994=5659059.15230554 | 10.1002/ange.201813994=4970000.0,,
pmcs,peroxidase,H2O2,4.5,45.0,kcat_s,一致,1,2,1.14,跨文献,10.1002/anie.201813994=5660000.0 | 10.1002/anie.201813994=4965067.53609688 | 10.1002/ange.201813994=5660000.0,,
cu,peroxidase,H2O2,6.0,30.0,km_mm,一致,1,2,1.13,跨文献,10.1007/s00604-016-1915-3=32.87 | 10.1021/acsami.0c07886=29.16,,
cuoh2,peroxidase,H2O2,4.5,25.0,vmax_um_s,一致,1,2,1.09,跨文献,10.1021/jacs.5b09337=0.4251 | 10.1039/c6tb01233g=0.391,,
cuoh2,peroxidase,TMB,4.5,25.0,vmax_um_s,一致,1,2,1.06,跨文献,10.1021/jacs.5b09337=0.4483 | 10.1039/c6tb01233g=0.421,,
cu2oh3clceo2,peroxidase,H2O2,3.0,25.0,km_mm,一致,1,2,1.0,跨文献,10.1007/s00604-015 506-8=11.61 | 10.1007/s00604-015 506-8=11.61 | 10.1007/s00604-015-1506-8=11.61,,
cu2oh3clceo2,peroxidase,TMB,3.0,25.0,km_mm,一致,1,2,1.0,跨文献,10.1007/s00604-015 506-8=12.36 | 10.1007/s00604-015 506-8=12.36 | 10.1007/s00604-015-1506-8=12.36,,
cu2oh3clceo2,peroxidase,H2O2,3.0,25.0,vmax_um_s,一致,1,2,1.0,跨文献,10.1007/s00604-015 506-8=0.0815 | 10.1007/s00604-015 506-8=0.0815 | 10.1007/s00604-015-1506-8=0.0815,,
cu2oh3clceo2,peroxidase,TMB,3.0,25.0,vmax_um_s,一致,1,2,1.0,跨文献,10.1007/s00604-015 506-8=0.1062 | 10.1007/s00604-015 506-8=0.1062 | 10.1007/s00604-015-1506-8=0.1062,,
fe2moo43f,peroxidase,H2O2,4.0,25.0,km_mm,一致,1,2,1.0,跨文献,10.1007/s00604-016 955-8=0.105 | 10.1007/s00604-016 955-8=0.105 | 10.1007/s00604-016-1955-8=0.105,,
fe2moo43f,peroxidase,TMB,4.0,25.0,km_mm,一致,1,2,1.0,跨文献,10.1007/s00604-016 955-8=1.126 | 10.1007/s00604-016 955-8=1.126 | 10.1007/s00604-016-1955-8=1.126,,
nico2s4,peroxidase,TMB,4.0,30.0,km_mm,一致,1,2,1.0,跨文献,10.1016/j.talanta.2021.122337=0.53 | na-1457=0.53,,
pmcs,peroxidase,H2O2,4.5,45.0,km_mm,一致,1,2,1.0,跨文献,10.1002/anie.201813994=40.16 | 10.1002/anie.201813994=40.16 | 10.1002/anie.201813994=40.16 | 10.1002/ange.201813994=40.16,,
pmcs,peroxidase,TMB,4.5,45.0,km_mm,一致,1,2,1.0,跨文献,10.1002/anie.201813994=0.224 | 10.1002/anie.201813994=0.224 | 10.1002/anie.201813994=0.224 | 10.1002/ange.201813994=0.224,,
tio2cqds,oxidase,TMB,5.0,25.0,km_mm,一致,1,2,1.0,跨文献,10.1039/c9tb02478f=0.158 | 10.1039/c9tb02478f=0.158 | na-831=0.158,,
tio2cqds,oxidase,TMB,5.0,25.0,kcat_s,一致,1,2,1.0,跨文献,10.1039/c9tb02478f=6.04 | 10.1039/c9tb02478f=6.04 | na-831=6.04,,
v2o5nanobelts,oxidase,glucose,7.0,37.0,km_mm,一致,1,2,1.0,跨文献,10.1021/acs.analchem.9b05872=3.02 | 10.1021/acs.analchem.9b05872=3.02 | na-1000=3.02,,
vs2,peroxidase,H2O2,4.0,25.0,km_mm,一致,1,2,1.0,跨文献,10.1007/s00604-017-2552=3.49 | 10.1007/s00604-017-2552=3.49 | 10.1007/s00604-017-2552-1=3.49,,
vs2,peroxidase,TMB,4.0,25.0,km_mm,一致,1,2,1.0,跨文献,10.1007/s00604-017-2552=0.28 | 10.1007/s00604-017-2552=0.28 | 10.1007/s00604-017-2552-1=0.28,,
vs2,peroxidase,H2O2,4.0,25.0,vmax_um_s,一致,1,2,1.0,跨文献,10.1007/s00604-017-2552=0.557 | 10.1007/s00604-017-2552=0.557 | 10.1007/s00604-017-2552-1=0.5569999999999999,,
vs2,peroxidase,TMB,4.0,25.0,vmax_um_s,一致,1,2,1.0,跨文献,10.1007/s00604-017-2552=0.416 | 10.1007/s00604-017-2552=0.416 | 10.1007/s00604-017-2552-1=0.416,,
